"IDIngredienteReceta";"IDReceta";"IDIngrediente";"Cantidad";"IDUnidad";"Observación"
218;28;21;0,25;16;
219;28;56;0,50;1;
220;28;11;50,00;3;"Blanda, a temperatura ambiente"
221;28;11;1,00;8;"Para untar"
222;29;7;0,50;4;
223;29;55;25,00;3;
224;29;1;15,00;3;
225;29;25;4,00;10;"Picado finamente"
226;29;4;15,00;9;
227;29;81;1,00;2;
228;29;12;225,00;9;
229;29;4;1,00;8;"Para untar"
230;29;7;1,00;8;"Para espolvorear"
231;30;82;30,00;3;
232;30;4;125,00;9;
233;30;12;625,00;9;"Tibia"
234;30;1;10,00;3;
235;30;83;30,00;3;
236;30;7;750,00;3;
237;30;7;1,00;8;"Para espolvorear"
238;30;3;1,00;8;"Para untar"
239;31;7;300,00;3;
240;31;4;4,00;2;
241;31;55;15,00;3;"A temp. Ambiente"
242;31;12;3,00;2;"Tibia"
243;31;84;2,00;2;"Picada finamente"
244;31;1;5,00;3;
245;31;12;5,00;2;
247;32;85;300,00;3;"Puede ser queso crema"
248;32;14;5,00;7;
249;32;18;0,50;6;
250;32;35;200,00;3;"Batida espesa"
252;32;80;40,00;7;
253;32;87;4,00;2;
256;32;88;0,50;6;"Bien fuerte"
257;32;65;1,00;8;"Para rociar"
259;33;89;8,00;18;
260;33;63;1,00;7;
261;33;7;1,00;2;
262;33;10;1,00;7;
263;33;57;0,50;6;
264;33;1;1,00;11;
265;33;2;1,00;11;
266;34;11;250,00;3;"Ablandada a temperatura ambiente"
267;34;18;250,00;3;
268;34;7;375,00;3;
269;34;53;45,00;3;"Molidas"
270;34;11;1,00;8;"Para untar"
271;34;7;1,00;8;"Para espolvorear"
272;34;53;25,00;3;"Enteras p/decorar"
273;35;14;6,00;7;
274;35;18;6,00;2;
275;35;90;6,00;2;
277;36;11;300,00;3;"A temp. Ambiente"
278;36;91;150,00;3;
279;36;14;2,00;7;
280;36;92;2,00;1;
281;36;56;3,00;13;
282;37;30;2,00;6;"Las hojas, lavadas y escurridas"
283;37;97;2,00;7;"Sin piel"
284;37;29;50,00;3;
285;37;93;8,00;7;
286;37;94;4,00;2;"Seco, tibio"
287;37;4;4,00;2;
288;37;95;4,00;2;"Puede ser de manzana"
289;37;1;1,00;11;
290;37;96;1,00;11;
292;38;32;2,00;19;"Reserve las hojas grandes"
293;38;50;2,00;7;
295;38;98;8,00;7;
296;38;61;3,00;7;"Medianos"
298;38;99;3,00;7;"Grandes"
299;38;100;12,00;7;
300;38;28;1,00;7;"Cortado en 8 gajos p/decoración"
301;39;67;1,00;8;
302;39;2;1,00;8;
303;39;1;1,00;8;
304;39;7;50,00;3;
305;39;11;50,00;3;
306;39;21;0,50;15;"Tibia"
307;40;7;500,00;3;
308;40;21;1,00;2;
309;40;10;5,00;7;
310;40;1;1,00;5;
311;40;7;1,00;8;"Para estirar la masa"
312;41;7;500,00;3;
313;41;10;5,00;7;
314;41;21;0,50;12;
315;41;1;1,00;1;
316;42;7;1,00;4;
317;42;18;1,00;2;"Colmada"
318;42;55;10,00;3;
319;42;101;1,00;2;"Colmada p/salmuera"
320;42;12;0,50;15;"Para salmuera"
321;42;4;1,00;8;
322;43;70;1,00;7;
323;43;102;1,00;6;"Grande"
324;43;103;0,50;6;
325;43;73;0,50;6;
326;43;15;1,00;1;
327;43;12;1,00;2;
328;43;104;1,00;4;
330;43;78;12,00;20;
331;43;20;1,00;21;
333;44;105;1,00;6;
334;44;103;1,00;6;
335;44;56;1,00;1;
336;44;106;1,00;1;"Líquida"
337;44;92;0,50;2;"Disuelto en agua caliente"
338;44;12;0,50;2;"Para disolver el café"
339;45;11;0,50;4;
340;45;28;0,50;7;
343;45;107;20,00;3;
344;45;108;1,00;11;
346;45;109;1,00;11;
347;45;1;1,00;11;
349;46;11;100,00;3;
350;46;110;2,00;7;
351;46;1;1,00;11;
352;47;4;1,00;12;
354;47;12;500,00;22;
355;47;9;500,00;3;
358;47;111;500,00;3;
359;47;1;1,00;1;
361;48;112;1,00;7;"En presas"
362;48;7;0,50;6;
363;48;10;1,00;7;"Grande, batido"
364;48;12;2,00;2;
365;48;57;0,50;6;
366;48;113;200,00;3;
367;48;1;1,00;11;
368;48;109;1,00;11;
369;49;44;300,00;3;"Al estilo chino"
370;49;184;100,00;3;"Frescas o congeladas"
371;49;116;100,00;3;"En 1 lonja"
372;49;115;2,00;7;"Lavados y escurridos"
373;49;10;2,00;7;
374;49;117;2,00;2;
375;49;118;3,00;2;
376;49;1;1,00;11;
377;49;109;1,00;11;
378;49;119;1,00;5;
379;50;7;500,00;3;
380;50;11;2,00;2;"Derretida, tibia"
381;50;101;1,00;1;
382;50;7;1,00;8;"Para espolvorear"
383;50;18;1,00;8;"Para espolvorear"
384;50;58;1,00;8;"Para freir"
389;51;120;32,00;7;
391;51;122;4,00;23;"Ver receta"
392;51;11;50,00;3;"Blanda"
393;51;121;4,00;6;"Las hojas"
394;51;1;1,00;11;
395;51;109;1,00;11;
397;52;124;8,00;7;
