"IDIngredienteReceta";"IDReceta";"IDIngrediente";"Cantidad";"IDUnidad";"Observación"
912;110;163;300,00;3;
913;110;50;250,00;3;
914;110;171;250,00;3;"Sin semillas"
915;110;99;250,00;3;"Peladas"
916;110;28;4,00;7;"Pequeños, de piel fina"
917;110;45;1,00;15;"Sidra o alcohol"
918;110;1;2,00;1;
919;110;18;0,50;4;
921;111;227;0,50;4;"En un trozo"
922;111;99;2,00;7;"Peladas"
923;111;25;1,00;10;
924;111;186;250,00;3;"Triturados"
925;111;153;1,00;7;
927;111;228;100,00;3;"Remojados en caldo o vino, cortados."
928;111;229;1,00;2;
929;111;166;2,00;20;
931;111;230;1,00;6;
932;111;94;1,00;6;
933;111;170;1,00;1;"opcional"
934;111;1;1,00;11;
935;111;109;1,00;11;
936;111;3;3,00;2;
937;112;232;4,00;18;"Con carne"
938;112;7;0,50;6;
939;112;57;8,00;2;
940;112;94;8,00;2;"Seco"
941;112;99;1,00;7;"En rodajas finas"
942;112;230;8,00;2;
943;112;153;1,00;7;"Finamente picada"
944;112;115;1,00;7;"Finamente picado"
945;112;151;1,00;25;"Finamente picado"
946;112;207;1,00;7;
947;112;22;1,00;2;
948;112;219;2,00;2;
949;112;25;1,00;10;"Machacado"
950;112;1;1,00;11;
951;112;109;1,00;11;
952;114;233;0,50;4;
953;114;29;1,00;2;"Rallado"
954;114;10;2,00;7;
955;114;107;0,50;2;"Picado"
956;114;113;0,50;6;
957;114;4;0,50;6;
958;114;28;1,00;7;
959;114;1;1,00;11;
960;114;109;1,00;11;
976;116;27;4,00;18;"Gruesas"
977;116;11;50,00;3;
978;116;84;2,00;2;"Las hojas, cortadas en tiritas con tijera"
979;116;89;4,00;18;"Gruesas"
980;116;157;1,00;1;"En pasta"
981;116;109;1,00;11;
982;116;1;1,00;11;
983;117;237;1,00;4;"Grosor fino"
984;117;1;1,00;11;
985;117;109;1,00;5;
986;117;11;2,00;2;
987;117;99;3,00;7;"Picadas"
988;117;140;0,50;15;
989;117;7;2,00;2;
990;117;79;1,00;2;
991;117;238;1,00;25;
992;117;230;1,00;6;"Hecho con 1 cubito"
1002;119;138;7,00;18;"Descortezadas"
1003;119;21;0,50;15;
1004;119;18;150,00;3;
1005;119;56;3,00;13;
1006;119;191;2,00;2;"Picadas gruesamente"
1007;119;171;2,00;2;"Sin semillas, o chocolate picado"
1008;119;18;6,00;2;"Para el caramelo"
1009;119;10;3,00;7;
1010;120;112;1,50;4;"Troceado"
1011;120;99;2,00;7;"Medianas, picadas finamente"
1012;120;186;2,00;16;"Picados"
1013;120;94;1,00;6;
1014;120;18;1,00;2;
1015;120;163;1,00;7;"Cortado en tiritas"
1016;120;1;1,00;11;
1017;120;109;1,00;11;
1018;120;108;1,00;1;
1019;120;62;1,50;1;
1020;120;166;2,00;20;
1021;120;224;0,50;1;"Opcional"
1022;121;41;1,00;16;
1024;121;239;0,75;6;
1025;121;240;8,00;2;
1026;121;28;2,00;1;"Exprimido"
1027;121;19;8,00;7;"Picados. Grandes"
1028;121;128;0,25;6;
1029;122;41;4,00;7;
1030;122;19;0,75;6;"Molidos"
1032;122;241;4,00;7;"Bochas"
1033;122;53;2,00;2;"Fileteadas"
1034;122;242;0,50;6;
1035;123;41;1,00;16;
1036;123;243;0,30;6;
1037;124;41;1,00;16;
1038;124;42;1,00;6;
1039;124;207;2,00;7;
1040;124;43;0,25;17;
1041;124;35;150,00;3;"Batida firme"
1042;125;41;1,00;16;"En trocitos"
1043;125;105;1,00;16;
1045;126;97;6,00;7;"Sin piel ni hueso"
1046;126;244;6,00;7;
1048;126;245;250,00;3;
1049;126;246;250,00;3;
1050;126;171;200,00;3;"Blancas, sin semilla"
1051;126;70;3,00;7;"Exprimidas"
1052;126;1;1,00;1;
1053;126;18;1,00;1;
1055;127;112;1,50;4;
1056;127;153;3,00;7;"En rodajas finas"
1057;127;151;1,00;25;"En rodajas finas"
1058;127;99;2,00;7;"En rodajas finas"
1059;127;235;1,00;2;"Preferentemente fresco"
1060;127;179;175,00;9;
1061;127;94;250,00;9;"Seco"
1062;127;1;1,00;11;
1063;127;109;1,00;11;
1064;127;235;3,00;2;"Preferentemente fresco. P/salsa"
1065;127;14;1,00;7;"Para la salsa"
1066;127;35;100,00;9;"Para la salsa"
1067;127;7;1,00;1;"Para la salsa"
1068;128;186;2,00;16;"En cubos"
1069;128;99;1,00;7;"Grande"
1070;128;4;1,00;1;
1071;128;62;1,00;1;
1072;128;2;1,00;5;
1073;128;18;0,50;1;
1074;128;1;1,00;11;
1075;129;84;1,50;6;
1076;129;25;3,00;10;"Troceado"
1077;129;146;0,50;6;"o nueces"
1078;129;4;125,00;9;
1079;129;1;0,50;1;
1080;129;109;1,00;5;
1081;129;11;1,00;2;"A temperatura ambiente"
1082;129;29;4,00;2;"O Provolone"
1083;130;138;7,00;18;
1084;130;4;2,00;2;
1085;130;93;50,00;3;"Cortados en tiritas"
1086;130;29;25,00;3;"En tajadas finas"
1087;130;84;0,50;6;"Para el pesto"
1088;130;146;0,25;6;"Para el pesto"
1089;130;4;2,00;2;"Para el pesto"
1090;130;25;2,00;10;"Para el pesto"
1091;131;30;250,00;3;
1092;131;23;150,00;3;"O Gruyere, Édam"
1095;131;98;8,00;7;
1096;131;89;2,00;7;"Tipo mignon, del día anterior"
1097;131;4;8,00;2;
1098;131;1;1,00;5;
1099;131;2;1,00;5;
1100;131;248;0,50;1;
1104;132;249;150,00;3;
1105;132;250;150,00;3;
1106;132;25;1,00;10;"Picado"
1107;132;28;1,00;7;"Exprimido"
1108;132;251;1,00;7;"Cortada en 8 gajos"
1109;132;121;2,00;6;
1110;132;1;1,00;11;
1111;132;2;1,00;11;
1112;133;130;500,00;3;
1113;133;251;3,00;7;
1114;133;18;2,00;2;
1116;133;252;250,00;3;
1117;133;78;4,00;25;
1118;134;105;1,00;6;
1119;134;12;1,00;6;
1120;134;1;1,00;5;
1121;134;35;1,00;6;
1122;134;15;1,00;2;
1123;134;88;2,00;2;
1124;134;56;0,50;1;
1126;135;253;1,50;4;
1127;135;11;50,00;3;
1128;135;4;3,00;2;
1129;135;228;3,00;2;"Remojados 1 hora"
1130;135;254;1,00;6;
1131;135;230;0,50;6;
1132;135;7;1,00;1;
1133;135;134;1,00;25;
1134;135;1;1,00;11;
1135;135;109;1,00;11;
1136;136;133;200,00;3;"En tajadas finas"
1137;136;99;1,00;7;"Picada"
1138;136;35;500,00;3;
1139;136;94;2,00;2;
1140;136;11;50,00;3;
1141;136;7;1,00;2;
1142;136;1;1,00;11;
1143;136;109;1,00;11;
1145;137;94;1,00;6;
1146;137;214;100,00;3;
1147;137;253;1,00;7;
1149;137;123;100,00;3;"Para decorar"
1150;137;4;1,00;2;
1151;137;1;1,00;11;
1152;137;109;1,00;11;
1154;137;166;1,00;20;
1155;137;153;1,00;7;
1156;137;151;1,00;25;
1157;137;99;1,00;7;
1158;138;18;100,00;3;
1159;138;12;1,00;8;
1160;139;133;300,00;3;"En tajadas finas"
1161;139;21;250,00;9;
1162;139;255;250,00;3;"En cubitos"
1163;139;3;2,00;2;
1164;139;10;4,00;7;
1166;139;256;100,00;3;
1167;139;116;100,00;3;"En cubitos"
1168;139;35;200,00;3;
1169;139;1;1,00;11;
1170;139;109;1,00;11;
1171;139;222;600,00;3;
1172;140;7;1,00;4;
1173;140;55;50,00;3;
1174;140;144;150,00;3;
1175;140;4;50,00;9;
1176;140;1;1,00;1;
1177;140;12;0,50;15;"Tibia"
1178;140;7;1,00;8;"Para espolvorear"
1179;141;35;250,00;3;
1180;141;91;3,00;2;
1181;141;56;3,00;13;
1182;142;14;6,00;7;"1 más si son pequeñas"
1183;142;18;200,00;3;
1184;142;21;0,50;15;
1185;142;56;1,00;1;"opcional"
1186;143;10;5,00;7;"1 más si son pequeños"
1187;143;18;200,00;3;
1188;143;11;200,00;3;"A temperatura ambiente"
1189;143;190;200,00;3;
1190;143;9;2,00;2;"Cernida"
1191;143;11;1,00;8;"Para untar"
1193;145;257;500,00;3;
1194;145;11;25,00;3;
1195;145;35;200,00;3;
1196;145;1;1,00;11;
1197;145;67;1,00;5;
1198;145;2;1,00;11;
1199;145;25;1,00;10;"Machacado"
1200;145;84;10,00;20;
1201;145;29;1,00;8;"Para acompañar"
1202;146;11;15,00;3;
1203;146;21;250,00;9;"Tibia"
1204;146;7;15,00;3;
1205;146;219;250,00;3;
1206;146;1;1,00;11;
1207;146;109;1,00;11;
1208;148;258;4,00;7;"De carne blanca"
1209;148;8;0,25;6;
1210;148;10;1,00;7;"Algo batido"
1211;148;140;1,00;6;"Fría"
1212;148;4;0,25;6;
1213;148;113;0,66;6;
1215;149;259;1,00;6;
1216;149;18;1,00;6;
1217;149;12;0,50;6;"Hirviendo"
1218;149;37;1,00;1;"O aceite neutro"
1219;150;157;100,00;3;"En aceite"
1220;150;35;4,00;2;
1221;150;11;100,00;3;
1222;151;109;1,00;5;
1223;151;79;1,00;2;
1224;151;117;0,25;6;
1225;151;199;0,25;6;
1227;151;260;1,00;1;"Opcional"
1228;151;264;1,00;1;
1229;151;261;1,00;1;"Opcional"
1230;151;170;1,00;2;
1231;151;262;1,00;2;
1232;151;25;2,00;10;"Picados"
1233;151;99;2,00;7;"Picadas"
1234;151;3;0,25;6;
1235;151;263;800,00;3;
1236;152;97;4,00;7;
1237;152;152;2,00;7;
1238;152;99;2,00;7;"Medianas"
1239;152;265;1,00;7;
1240;152;38;2,00;2;
1241;152;48;1,00;2;"Fresco, rallado"
1242;152;170;1,00;1;
1243;152;71;1,50;2;
1244;152;1;1,00;11;
1245;152;109;1,00;11;
1246;153;1;1,00;11;
1247;153;109;1,00;11;
1248;153;113;1,00;6;
1249;153;11;2,00;2;
1250;153;133;250,00;3;
1251;153;255;6,00;26;
1254;153;266;2,00;7;"De ternera"
1256;154;267;0,50;4;"Desgrasada o vacuna"
1257;154;61;2,00;7;
1258;154;99;1,00;7;"Grande"
1259;154;133;250,00;3;
1260;154;2;1,00;1;"Opcional"
1262;154;268;1,00;1;"Seco"
1263;154;28;0,30;6;"Exprimido"
1264;154;4;2,00;2;"O girasol"
1265;154;1;1,00;11;
1266;155;28;0,25;6;"Exprimido"
1267;155;4;0,25;6;
1268;155;84;0,25;6;"Cortada en juliana"
1269;155;163;2,00;7;"En mitades"
1271;155;269;2,00;7;"Grandes"
1272;155;109;0,25;1;
1273;155;25;2,00;10;"Picados"
1274;155;79;2,00;1;
1275;156;185;12,00;7;"Grueso, cocidos y pelados"
1276;156;270;1,00;7;"En rodajas gruesas"
1277;156;61;2,00;7;"En ocho gajos"
1279;156;272;4,00;7;
1281;156;273;2,00;2;"Semillas"
1282;156;1;1,00;1;"Opcional"
1283;156;220;2,00;7;"Verdes, sin semillas"
1284;156;28;3,00;2;"Exprimido"
1285;156;4;3,00;2;
1286;156;32;1,00;8;
1287;157;61;4,00;7;
1288;157;274;250,00;3;
1289;157;98;1,00;6;"Picados"
1290;157;169;1,00;7;"Picada"
1291;157;163;2,00;2;"En cuadraditos"
1292;157;191;0,50;12;"Picadas"
1293;157;1;1,00;11;
1294;157;109;1,00;11;
1295;157;32;1,00;8;"Para decorar"
1296;158;61;8,00;7;
1297;158;275;4,00;18;"Descortezadas y remojadas en leche"
1298;158;255;100,00;3;"En 1 trozo"
1299;158;99;0,50;7;"Picada"
1300;158;191;50,00;3;"Picadas"
1301;158;10;1,00;7;
1302;158;109;0,25;1;"Opcional"
1303;158;1;1,00;11;
1304;158;11;2,00;1;"Derretida"
1305;159;10;8,00;7;"Duros"
1306;159;61;4,00;7;
1307;159;124;12,00;7;
1308;159;123;60,00;3;
1309;159;234;2,00;2;"Picadas, o verdeo"
1310;159;249;16,00;26;"En tajadas cortas y finas"
1311;159;125;4,00;2;
1312;159;1;1,00;11;
1313;159;109;1,00;11;
1315;165;254;1,50;15;
1316;165;207;0,50;1;"Molido"
1317;165;67;1,00;5;
1318;165;43;1,00;1;
1319;165;48;1,00;5;"Molido"
1320;165;18;1,00;6;
1321;165;28;2,00;7;"La cáscara en tiras gruesas, sin la piel blanca"
1322;165;70;2,00;7;"La cáscara en tiras gruesas, sin la piel blanca"
1323;165;18;10,00;7;"En terrones"
1324;165;171;1,00;6;"De Corinto"
1325;165;12;2,00;6;
1326;165;53;1,00;2;"Fileteadas"
1327;166;10;4,00;7;
1328;166;18;4,00;2;
1329;166;43;0,50;1;"Molida"
1331;166;276;0,50;6;
1332;167;277;1,50;15;
1333;167;279;12,00;7;
1334;167;278;12,00;7;"Ó 6 duraznos,Descarozados"
1335;167;43;1,00;25;
1337;167;280;0,50;15;"Bien fría"
1338;167;128;1,00;31;
1339;167;281;18,00;30;
1340;168;254;0,50;15;
1341;168;280;1,00;15;"Casi helada"
1342;168;28;1,00;7;"Exprimido, grande"
1343;168;28;6,00;18;"Sin pelar"
1344;168;18;1,00;11;
1345;168;281;10,00;30;
1346;169;94;2,00;15;"Tipo Rin"
1347;169;18;500,00;3;
1348;169;12;0,50;15;
1349;169;207;3,00;7;
1350;169;43;0,50;1;
1351;169;22;2,00;30;
1352;169;71;4,00;30;
1353;170;21;2,00;6;"Caliente"
1354;170;190;1,00;6;"Rallado"
1355;170;18;3,00;2;
1356;170;88;1,00;2;"Molida extra-fino"
1357;170;43;1,00;1;"Molida"
1358;170;35;3,00;2;"Batida espesa"
1359;171;88;10,00;1;"Recién molido"
1360;171;43;2,00;25;"De unos 8 cm"
1361;171;79;100,00;3;
1362;171;70;1,00;7;"La cáccara, en un trozo de unos 5 cm"
1363;171;20;4,00;2;
1364;172;7;200,00;3;
1365;172;21;0,50;15;
1366;172;10;3,00;7;
1367;172;1;1,00;5;
1368;172;11;50,00;3;
1369;173;160;250,00;3;
1370;173;77;125,00;3;"O de vainilla"
1371;173;18;50,00;3;
1372;173;10;2,00;7;
1373;173;1;1,00;5;
1374;173;16;2,00;7;"Grandes"
1375;173;11;1,00;2;
1376;173;22;0,50;7;
1377;173;28;0,50;7;"Exprimido"
1378;173;18;2,00;2;
1380;174;107;0,30;6;"Picado"
1381;174;264;1,00;11;"Opcional"
1382;174;109;1,00;11;
1383;174;142;3,00;13;
1384;174;28;1,00;1;"Exprimido"
1385;174;124;1,00;7;"Troceado"
1386;174;144;0,25;6;"Picadas"
1387;174;169;1,00;7;"Picada fino"
1389;174;282;1,00;6;"Rallado"
1390;174;283;250,00;3;"O Ricota"
1391;175;133;12,00;7;"Grandes"
1392;175;116;100,00;3;"En un trozo"
1393;175;160;250,00;3;
1394;175;28;25,00;22;"Exprimido"
1395;175;11;25,00;3;
1396;175;35;50,00;22;
1397;175;29;1,00;11;
1398;175;1;1,00;11;
1399;175;109;1,00;11;
1408;177;11;200,00;3;"A temperatura ambiente"
1409;177;79;0,75;6;
1410;177;18;0,75;6;
1411;177;56;1,00;1;
1412;177;10;2,00;7;
1414;177;286;1,00;1;
1415;177;1;1,00;5;
1417;177;287;2,00;6;"En chips"
1418;177;191;0,50;6;"Picadas"
1419;177;7;350,00;3;
1420;177;11;1,00;8;"Para untar las placas"
1421;173;82;25,00;3;"Fina"
1422;178;10;12,00;7;
1423;178;12;2,00;2;"Fría"
1424;178;287;250,00;3;"Rallado"
1425;178;287;1,00;7;"Tableta"
1426;178;70;1,00;7;"La ralladura y el jugo"
1427;178;18;1,50;6;
1428;178;7;0,75;6;
1430;179;288;750,00;3;
1431;179;15;1,00;2;
1432;179;169;1,00;6;"Picada"
1433;179;151;0,50;6;"Picado"
1434;179;163;0,50;6;"Picado"
1435;179;230;1,00;30;
1436;179;117;0,25;6;
1437;179;196;0,75;6;
1438;179;166;1,00;20;
1439;179;18;2,00;2;
1440;179;228;100,00;3;
1441;179;133;100,00;3;
1442;179;109;1,00;11;
1443;180;11;40,00;3;
1444;180;216;200,00;3;
1445;180;10;8,00;7;
1446;180;1;1,00;11;
1447;180;109;1,00;11;
1448;180;28;4,00;18;"Para decorar"
1449;180;107;2,00;25;"Para decorar"
1456;182;27;1,00;4;
1457;182;4;5,00;2;
1458;182;94;2,00;2;
1459;182;61;1,00;4;
1460;182;99;1,00;7;"Picada fino"
1461;182;107;1,00;2;"Picada fino"
1462;182;78;2,00;2;"Picada fino o Cilantro finamente picado: 2 cdas."
1463;182;28;4,00;2;"Exprimido"
1464;182;248;1,00;1;
1465;182;1;1,00;11;
1466;182;109;1,00;11;
1467;182;18;1,00;5;
1469;183;289;500,00;3;"Remojadas 8 hs."
1470;183;99;2,00;2;"Picada fino"
1471;183;25;3,00;10;"Picado fino"
1472;183;107;1,50;2;"Picado fino"
1473;183;163;1,00;7;"Picado fino"
1474;183;152;1,00;7;"Picado fino"
1475;183;176;2,00;7;"Cortado en rodajas"
1476;183;61;2,00;7;"Picado"
1477;183;3;2,00;2;
1478;183;1;1,00;11;
1479;183;108;1,00;2;
1480;183;5;1,00;1;
1481;184;178;1,00;7;"De unos 4-5 kilos"
1482;184;227;1,00;4;"Sin grasa - de ternera"
1483;184;99;2,00;7;
1484;184;271;3,00;7;"Congelado"
1485;184;61;3,00;7;"Grandes"
1486;184;163;2,00;7;
1487;184;44;2,00;6;
1488;184;230;5,00;6;
1489;184;94;2,00;6;
1490;184;3;1,00;6;
1491;184;21;1,00;6;
1492;184;18;3,00;2;
1493;184;109;1,00;1;
1494;184;170;0,50;1;
1495;184;1;1,00;11;
1496;185;291;400,00;3;"Revisar cantidad"
1497;185;4;0,30;6;
1498;185;99;1,00;7;"Picada fino"
1499;185;166;2,00;20;
1500;185;254;2,00;2;
1501;185;145;2,00;2;
1502;185;2;0,25;1;
1503;185;62;0,50;2;
1504;185;79;1,00;1;"Opcional"
1505;186;227;750,00;3;
1506;186;169;4,00;7;
1507;186;110;1,00;7;"Grande"
1508;186;10;3,00;7;"Duros"
1509;186;100;18,00;7;
1511;186;292;2,00;2;
1512;186;108;1,00;2;"Dulce"
1513;186;5;1,00;1;
1514;186;109;1,00;1;
1515;186;1;1,00;11;
1534;188;293;1,00;6;"Desmenuzado"
1535;188;35;2,00;2;"Batida espesa"
1536;188;10;2,00;7;"Duros, picados grueso"
1537;188;109;1,00;11;
1538;188;144;12,00;7;
1539;189;246;325,00;3;
1540;189;53;175,00;3;"Peladas"
1541;189;181;10,00;26;
1542;190;216;1,00;4;
1543;190;220;1,00;7;"Sin semillas"
1544;190;25;5,00;10;"Cortado grueso"
1545;190;4;6,00;2;
1546;190;1;1,00;11;
1547;190;2;1,00;11;
1548;191;112;1,00;7;"De unos 2 kilos"
1549;191;1;1,00;11;
1550;191;2;1,00;11;
1551;191;42;4,00;2;
1552;191;4;3,00;2;
1553;191;224;1,00;25;
1554;191;166;1,00;20;
1555;191;268;1,00;25;
1556;191;294;1,00;25;"Fresco"
1557;191;25;25,00;10;"Pelado y machacado"
1558;192;141;3,00;7;"Grandes, maduras"
1559;192;35;4,00;2;"Espesa"
1560;192;28;2,00;2;
1561;192;20;1,00;2;
1562;192;191;0,25;6;"Picadas"
1563;192;216;100,00;3;
1564;192;264;1,00;11;
1565;192;1;1,00;11;
1566;192;216;12,00;7;"Para decorar, con cola y cabeza, pelados"
1567;192;191;3,00;7;"Para decorar, en mitades"
1568;192;28;1,00;7;"Para decorar, pequeño, en 6 gajos"
1569;193;295;6,00;27;
1570;193;147;150,00;3;"En tajadas"
1571;193;35;400,00;3;"Espesa"
1572;193;2;0,50;1;"Opcional"
1574;194;296;4,00;27;
1575;194;133;200,00;3;"En conserva"
1576;194;163;200,00;3;"En conserva"
1577;194;113;4,00;2;
1578;194;107;2,00;2;"Picado fino"
1579;194;4;2,00;2;
1580;194;1;1,00;11;
1581;194;109;1,00;11;
1583;195;297;1,25;4;"Maduras"
1584;195;18;750,00;3;
1585;195;298;0,50;15;
1586;195;281;10,00;30;
1588;196;299;1,00;4;
1589;196;18;250,00;3;
1590;196;28;0,50;7;"Exprimido"
1591;196;300;0,50;1;
1592;196;43;1,00;2;"Molida"
1593;197;301;400,00;3;"Recién cocidos, calientes"
1594;197;113;3,00;2;
1595;197;147;150,00;3;"En cubitos. Puede ser cocido"
1596;197;11;50,00;3;
1597;197;18;1,00;1;"Opcional"
1598;198;13;7,00;7;"A temperatura ambiente"
1599;198;18;450,00;3;
1600;198;12;1,00;6;
1601;198;1;1,00;5;
1602;199;35;100,00;3;"Espesa"
1603;199;198;250,00;3;"Picado"
1604;199;53;25,00;3;"Tostadas y picadas o fruta abrillantada"
1605;199;199;25,00;3;"Tostadas y picadas"
1606;199;128;1,00;24;"O licor de chocolate u otro"
1607;199;91;50,00;3;
1608;199;198;100,00;3;"Baño y decor. Picado y derretido"
1609;199;287;50,00;3;"Para espolvorear, rallado"
1610;200;79;200,00;3;
1611;200;37;200,00;3;"Blanda, a temp. Ambiente"
1612;200;9;300,00;3;
1613;200;139;2,00;1;
1614;200;171;200,00;3;"Sultanas sin semillas"
1616;200;302;250,00;3;"Picada grueso"
1617;200;191;75,00;3;"Picada grueso"
1618;200;128;1,00;24;
1619;200;303;1,00;2;
1620;200;12;250,00;9;
1621;200;11;1,00;8;"Para untar"
1622;200;7;1,00;8;"Para espolvorear"
1623;201;10;5,00;7;"1 más si son pequeños"
1624;201;164;0,50;4;
1625;201;18;0,50;4;
1626;201;11;1,00;8;"Para untar"
1627;201;7;1,00;8;"Para espolvorear"
1628;202;10;5,00;7;"Grandes o añada 1 más"
1629;202;18;200,00;3;
1630;202;3;1,00;12;
1631;202;56;1,00;1;
1632;202;8;200,00;3;
1633;202;11;1,00;8;"Para untar"
1634;202;7;1,00;8;"Para espolvorear"
1635;203;34;2,50;6;
1636;203;79;1,00;6;
1637;203;11;175,00;3;"A temp. Ambiente"
1638;203;7;3,00;2;
1639;203;11;1,00;8;"Para untar"
1640;203;7;1,00;8;"Para espolvorear"
1641;204;110;8,00;7;"Medianas"
1643;204;25;1,00;32;
1644;204;268;0,50;2;"Preferentemente fresco"
1645;204;224;0,50;2;"Preferentemente fresco"
1646;204;62;1,00;2;"Preferentemente fresco"
1647;204;4;1,50;2;
1648;204;1;1,00;11;
1649;204;109;1,00;11;
1651;205;304;0,50;7;"A punto"
1652;205;16;1,00;7;"Pelada"
1653;205;133;200,00;3;"En conserva"
1654;205;185;8,00;7;"Cocidos"
1655;205;57;4,00;2;
1656;205;145;2,00;2;
1657;205;1;1,00;11;
1658;205;109;1,00;11;
1659;206;305;1,00;16;"En conserva"
1660;206;133;1,00;16;"En conserva"
1661;206;249;100,00;3;"en filetes"
1662;206;123;2,00;2;
1663;206;35;1,00;6;"Espesa. Para la salsa"
1664;206;28;1,00;2;"Exprimido. Para la salsa"
1665;206;14;1,00;7;"Para la salsa"
1666;206;99;1,00;2;"Rallada. Para la salsa"
1667;206;70;0,50;7;"Jugo y ralladura. Para la salsa"
1668;206;48;0,50;6;"Molido (opcional). Para la salsa"
1669;206;1;1,00;11;"Para la salsa"
1670;206;109;1,00;11;"Para la salsa"
1671;206;306;6,00;20;"Para decorar"
1672;206;10;2,00;7;"Duros en 4 gajos, para decorar"
1673;207;16;3,00;7;"Peladas"
1674;207;11;20,00;3;
1675;207;18;3,00;2;
1676;207;248;2,00;2;
1678;207;307;12,00;29;
1679;208;110;0,50;4;
1680;208;3;1,00;32;"Para freír"
1681;208;1;1,00;11;
1683;209;308;2,00;27;"En conserva"
1684;209;110;3,00;7;"Medianas, cocidas"
1685;209;124;2,00;7;"Picados fini"
1686;209;16;1,00;7;"Pelada"
1687;209;99;2,00;2;"Picada fina o rallada"
1688;209;309;450,00;3;"En conserva"
1689;209;309;3,00;2;"El líquido"
1690;209;10;2,00;7;"Duros"
1691;209;109;1,00;11;
1692;209;28;0,50;7;"En gajos para decorar"
1693;209;107;2,00;25;"Para decorar"
1694;210;99;6,00;7;"Grandes"
1695;210;11;150,00;3;
1696;210;18;6,00;2;
1697;210;12;1,00;6;
1698;211;61;1,00;4;"Perita a punto"
1701;211;63;750,00;3;
1702;211;1;1,00;11;
1703;211;2;1,00;11;
1704;211;84;12,00;20;
1705;211;4;1,00;8;
1706;212;70;6,00;7;"Con la piel, sana, lavadas."
1707;212;105;400,00;3;
1708;213;312;1,00;7;
1709;213;11;2,00;2;
1710;213;28;0,50;7;"Exprimido"
1711;213;70;2,00;7;"Exprimidas"
1712;213;224;1,00;1;
1713;213;67;1,00;1;
1714;213;166;3,00;20;
1715;213;107;1,00;2;"Picado"
1716;213;99;1,00;7;"Grande, picada."
1717;213;1;1,00;11;
1718;213;109;1,00;11;
1719;213;147;4,00;26;"Picadas fino"
1720;213;219;1,00;2;
1721;213;179;1,00;6;
1722;213;70;1,00;7;"La cáscara en bastoncitos. Para decorar"
1723;213;18;2,00;2;"Para decorar"
1724;213;70;2,00;7;"En gajos, si hollejo ni semillas.Para decorar"
1725;213;11;2,00;2;"Para decorar"
1726;214;70;0,50;15;"Exprimidas"
1727;214;70;0,50;7;"La cáscara, sin la parte blanca"
1728;214;18;500,00;3;
1729;215;16;1,00;4;
1730;215;207;1,00;7;
1731;215;43;0,50;1;
1732;215;94;0,30;6;
1733;216;313;750,00;3;
1734;216;11;100,00;3;
1735;216;113;5,00;2;
1736;216;1;1,00;11;
1737;217;254;1,00;15;
1738;217;70;1,00;16;"Gaseosa"
1740;217;314;1,00;33;
1741;217;129;1,00;33;
1742;217;128;1,00;33;"O Martini rosado"
1743;217;43;1,00;25;
1745;217;315;1,00;7;"Troceado"
1746;217;18;1,00;11;
1747;217;28;1,00;11;"En rodajas"
1748;217;281;1,00;11;
1749;218;112;1,00;7;"En presas"
1750;218;128;1,00;31;
1751;218;11;3,00;2;
1752;218;166;2,00;20;
1753;218;224;1,00;1;"Seco o fresco"
1754;218;62;1,00;1;"Seco o fresco"
1755;218;1;1,00;5;
1756;218;109;1,00;5;
1757;218;35;250,00;3;
1758;219;316;1,50;6;
1759;219;12;2,25;6;
1760;219;261;0,75;1;"Azafrán de las indias"
1761;219;164;2,00;2;
1762;219;318;2,00;2;
1763;219;319;2,00;2;"Tostadas y picadas grusas"
1765;219;321;0,50;1;
1766;219;24;0,30;1;
1767;219;5;0,50;1;
1768;219;11;0,25;6;"Clarificada"
1769;219;28;1,00;7;
1770;219;28;1,00;7;"En rodajas finas para decorar"
1771;219;108;1,00;8;"Para decorar los platos"
1772;220;99;4,00;2;"Picada fino"
1773;220;262;1,50;2;"Picado grueso, coriandro"
1774;220;220;2,00;7;"O Jalapeños, sin semillas picados"
1775;220;25;0,50;10;"Picado fino"
1776;220;141;2,00;7;"Grandes, maduras"
1777;220;61;1,00;7;"Mediano, bien maduro"
1778;220;251;2,00;1;"O Limón"
1779;220;1;1,00;11;
1780;222;133;200,00;3;"Sin los tallos"
1781;222;151;100,00;3;"Los tallos en tajadas finas"
1782;222;147;300,00;3;"En fetas"
1783;222;28;1,00;7;"Exprimido"
1784;222;3;1,00;8;
1785;222;62;1,00;2;
1786;222;1;1,00;11;
1787;222;109;1,00;11;
1788;223;10;3,00;7;
1789;223;18;1,50;6;
1790;223;28;0,50;7;"Exprimido"
1791;223;22;0,50;7;
1792;223;37;200,00;3;"A temp. Ambiente"
1793;223;7;750,00;3;
1794;223;286;2,00;1;
1795;223;11;1,00;8;"Para el molde"
1796;223;7;1,00;8;"Para espolvorear"
1797;224;10;3,00;7;
1798;224;91;250,00;3;
1799;224;53;300,00;3;"Peladas y trituradas"
1800;224;43;0,50;1;
1801;224;67;0,30;1;
1802;224;7;300,00;3;
1803;224;7;1,00;8;"Para espolvorear"
1804;225;11;140,00;3;"A temp. Ambiente"
1805;225;18;50,00;3;
1806;225;69;1,00;2;
1807;225;56;6,00;13;
1808;225;9;200,00;3;"Tamizada"
1809;225;10;1,00;7;"Batido ligeramente para untar"
1810;225;11;1,00;8;"Para la placa"
1811;225;18;1,00;8;"Para espolvorear"
1812;225;7;1,00;8;"Para espolvorear"
