"IDReceta";"Receta";"Preparacion";"Porciones";"IDCategoria";"IDCocina";"IDComplejidad";"Sugerencia";"IDRendimiento"
13;"Hosomaki";"Encienda una hornalla y tueste el alga nori sosteniéndola a unos 10 cm. de distancia y moviéndola en círculos 10 seg. de cada lado.
Corte el pepino en tiras bien finas, sálelo y deje reposar unos minutos, hasta que empiece a soltar líquido. Si en su lugar va a utilizar salmón, córtelo de mismo modo.
Coloque el tsudare sobre la mesada, con las varillas en paralelo al borde dónde Ud. va a trabajar. Vierta 2 tazas de agua en el bol y el vinagre. Ponga a mano el paño humedecido.
Divida cada hoja de alga, siguiendo los cortes, por la mitad. Coloque una mitad sobre la esterilla, con el lado más largo paralelo a la dirección de las varillas.
Humedézcase las manos en el agua avinagrada. distribuya un puñado de arroz sobre el alga, formando un rectángulo de espesor uniforme, sin presionar el arroz. cuide de dejar un borde en el lado apuesto a su cuerpo de 1,5 cm. de ancho.
Con la punta de un dedo tome un poco de wasabi y pinte una línea horizontal en la mitad del arroz. Con papel absorbente escurra bien las tiras de pepino y acomode varias tiras sobre el wasabi. Proceda del mismo modo si utiliza pescado.
Proceda del mismo modo con el resto de las algas y los otros ingredientes. Deje reposar unos 15 min. y sobre una tabla, coloque dos rollos, alineados uno al lado de otro. Córtelos, simultáneamente, en 3 trozos.";6,00;17;19;3;"Acompañe con pickle de jengibre agridulce, una bolita de wasabi y salsa de soja";2
14;"Truchas a la Almendra";" Encienda el horno, a temperatura media, e introduzca la fuente para precalentarla. Después, lave bien el pescado y escurra con el papel absorbente. 
 Vierta la leche en una fuente y la harina en otra. Pase, el pescado, primero por el líquido, luego, rebócelo bien en harina y, sacúdalos bien para eliminar restos.
En la sartén grande, caliente, bien, la manteca a fuego medio. Entonces, coloque el pescado, baje el fuego a lento y fría hasta que esté bien dorado. Tardará unos 15 min., en la mitad de la cocción rótelo para que se cocine parejo.
Mientras tanto, coloque las almendras en la otra sartén y lleve a tostar, a fuego lento, removiendo para que se doren parejo. Cuando el pescado esté listo, retire, con la espumadera, y distribúyalo en la fuente precalentada.
Cuele la manteca de la cocción, sobre la ollita, lleve a fuego medio y añada la crema. Caliente, bien, más o menos unos 4 min., revolviendo con la cuchara de madera.
Salsee las truchas, espolvoree con las almendras, decore la fuente con las rodajas de limón y sirva.";4,00;16;3;2;"Acompañe con Endibias al Vino Blanco o Papas de Bircher-Benner o Papas asadas";2
15;"Panecillos New Age";" Encienda el horno, a temperatura máxima, para precalentarlo. En el bol mezcle el queso crema con la harina, hasta que se formen pequeños granos, similares a la migas.
 
Entonces, salpimente a gusto, vierta el agua y mezcle, rápidamente, para formar una pasta.Luego, enmanteque la placa, con las manos espolvoreadas con harina y en una superficie también espolvoreada con harina, forme un rollo de unos 5 cm. de diámetro.
 
Después, corte rodajas de unos 2 cm. de grosor y, con las manos enharinadas, forme panecillos redondos o alargados, distribuyéndolos en la placa a medida que están hechos.
 Luego, hágales un corte, en forma transversal, superficial en la superficie, si lo desea espolvoréelos con sal y hornee hasta que estén dorados, entre 12 a 15 min. Retire, deje enfriar y sirva.";12,00;7;9;2;"Ya horneados los puede conservar cocidos, freezados, hasta 3 meses. Para consumirlos sólo hay que dejarlos a temperatura ambiente durante 30 min.";3
16;"Masa para Pan de hamburguesas, viena o chips";"En el bol grande, mezcle la harina con la sal y el azúcar y déle forma de corona. En el otro bol, coloque la levadura, vierta lentamente la leche mientras va mezclando para disolverla. Entonces, añada el huevo y la esencia.
 
Vierta esta mezcla en el centro de la harina, añada la manteca y mezcle, incorporando, con la cuchara de madera los ingredientes secos a los húmedos, hasta formar un bollo.
 
Coloque en la bolsa enharinada y amase, mientras incorpora el aceite. Amase, dentro de la bolsa, hasta tener un bollo liso, suave, más o menos unos 20 min. Entonces, cubra con la bolsa y deje leudar en un lugar cálido hasta que duplique su tamaño, más o menos 1 h.
 
Unte las placas con manteca. Para armar chips tome porciones de la masa y forme bastones de 3 cm. de largo. Para hacer panchos haga bastones de 6 cm. de largo.
 
Para hacer panes de viena forme bollos de unos 8 cm de diámetro y alargue los extremos. Para hacer panes de hamburguesas estire la masa, sobre una superficie enharinada, hasta que tenga 2 cm de espesor, entonces corte círculos con el cortapastas.
 
 Distribuya los panes en las placas, cuidando que queden separados por lo menos 3 cm, entre sí. Deje levar hasta que dupliquen su tamaño, tardarán más o menos 1 h., entre tanto prenda el horno para precalentarlo, a temperatura media.
 
Una vez que hayan leudado, pincele los panes con huevo batido y hornee unos 12 a 15 min o hasta que estén dorados. Retire y deje enfriar.";50,00;7;9;3;"Puede conservarlos cubiertos por film en el freezer y descongelarlos a temperatura ambiente o en horno a temperatura moderada.";3
17;"Masa para Pizza a la Piedra";"Coloque la harina en el bol grande y espolvoree con la sal y el azúcar. Si utiliza levadura fresca, sobre el bol pequeño, desmenúcela con las yemas de los dedos hasta convertirla en un granulado fino.
 
Después, incorpórela a la harina, como si la rociara, y mezcle con la cuchara de madera mezclándola bien. Luego, haga un hueco, en el centro de la harina, y vierta el agua.
 
Con la cuchara de madera, mezcle con la harina, moviendo desde el centro hacia afuera, hasta formar un bollo que se adhiera a la cuchara. Entonces, espolvoree la bolsa de polietileno.
 
Coloque la masa dentro y trabaje, amasando hasta que esté suave. Entonces, incorpore de a poco la grasa, amasando bien y enérgicamente, siempre dentro de la bolso, hasta que se formen ampollas de aire, en el bollo.
 
Entonces, retire de la bolsa, divida la masa en dos bollos y deje descansar tapados, en lugar cálido. 20 min. Mientras tanto, encienda el horno a temperatura media/alta, para precalentarlo.
 
Unte las placas con manteca y espolvoree con harina. Pasado el tiempo de reposo, espolvoree con harina la mesada y el palo de amasar. Estire, bien finitas, la masa dándole las medidas de las placas.
 
Envolviéndolas en el palo de amasar enharinado, envuélvalas y colóquelas en las placas. Luego, pínchelas con el tenedor y deje reposar 10 min. Pasado ese tiempo hornee unos 15 min. Retire cubre con el relleno que elegido y lleve nuevamente unos minutos al horno caliente.";2,00;7;8;2;;3
18;"Pan Lactal";"En el bol grande coloque la levadura, con la leche tibia y 2 tazas de harina, mezcle bien y deje levar, tapado con film, en un ambiente cálido, hasta que duplique su tamaño, más o menos 1 h.
Cuando haya levado, en el bol mediano, mezcle bien el resto de la harina con el aceite, la manteca, las yemas, el azúcar y la sal y añada a la masa levada.
 
Luego,sobre una superficie enharinada, amase muy bien, unos 15 a 20 min. hasta tener un bollo liso. Entonces, divida en mitades, déles la forma de los moldes y colóquelos dentro.
Entonces, deje levar hasta que dupliquen su tamaño, más o menos 1 h. Cuando hayan pasado unos 20 min. encienda el horno a temperatura media alta, para precalentarlo.
 
Cuando los bollos hayan levado, colóquelos en el estante del medio del horno y en la base coloque el recipiente térmico con agua hasta la mitad de su capacidad, para que el pan se dore y la corteza salga crujiente.
 
Hornee hasta que estén dorados unos 30 a 45 min. Retire, desmolde y deje enfriar.";2,00;7;9;3;;3
19;"Masa para pizza napolitana";"En el bol mediano, mezcle la levadura con la mitad del agua tibia y deje reposar durante 10 min., en un lugar cálido, o hasta que se forme espuma en la superficie.
 
En el bol grande, mezcle 125 g. de harina con la sal y haga un hoyo, formando un volcán. Luego, añada a la levadura el resto del agua tibia, el agua fría y el aceite, mezcle y vierta en el centro de la harina.
 
Ayudándose con la cuchara de madera, incorpore de a poco la harina al líquido, hasta que lo absorba por completo. Entonces, añada 250 g., más, de harina y continúe revolviendo.
 
Cuando la masa resulte demasiado dura, como para trabajarla con la cuchara, forme un bollo con las manos y colóquela sobre una superficie ligeramente enharinada.
 
Entonces, presionándola con los nudillos de las manos, amásela unos 8 a 10 min., a medida que le va incorporando toda la harina restante, que puede absorber, hasta tener un bollo suave y elástico.
 
Aceite ligeramente el interior del bol grande, limio, coloque el bollo y píncelelo con aceite.Cubra con papel film y deje levar, en lugar cálido, 1 a 2 h. o hasta que duplique su volumen.
 
Cuando hay leudado, retírela y, sobre una superficie ligeramente enharinada, aplaste el bollo con los nudillos para quitarle el aire. Después, amásela unos 7 a 10 min.. Luego, divídala en 2 partes y forme las 2 bases o manténgalas tapadas hasta utilizarlas.
 
Para hacerlas, utilice las palmas de las manos, ligeramente enharinadas, achatando cada porción para formar un disco. Presione desde el centro hacia afuera, dándola vuelta varias veces, presionando y estirándola con los dedos.
 
Aceite ligeramente la placa, coloque las bases y tápelas con los paños. Deje levar unos 30 min. en lugar cálido. Mientras tanto encienda el horno a temperatura alta, para que se precaliente, pues se cuecen a 200°C.";2,00;7;8;3;"La base estilo romano tiene un grosor de 2 mm. y con estas cantidades salen 2 de 35 cm. de diámetro. La estilo napolitana 5 mm. y salen 2 unidades de 30 cm.";3
20;"Pizza Napolitana";"Encienda el horno a temperatura media/alta, 200°C, para precalentarlo. Mientras tanto, aciete ligeramente la placa, prepare las 2 bases para pizza, colóquelas en la placa. Tápelas con los paños, deje levar 30 min. en lugar cálido.
 
Cuando se esté por cumplir ese tiempo, en el bol, mezcle el tomate, el ajo, el orégano y sale, a gusto. Después, distribúyala sobre las bases y rocíelas con aceite, a gusto.
 
Hornéelas durante 7 min. o hasta que estén doradas. Si desea hacerlas al estilo romano rétirelas del horno 5 min. antes, distribuya el queso y continúe la cocción hasta que esté derretido.
 
Retire y deje entibiar unos minutos, para poder servir las porciones mejor.";4,00;7;8;2;"Si lo desea puede colocarle tajadas de jamóm en el momento de añadirle el queso";2
21;"Helado de Miel y Lavanda";"En la ollita, vierta agua hasta las 2/3 partes de la capacidad y lleva a fuego medio. En el bol, mezcle bien las yemas, con la crema y la miel.
 
Luego, coloque el bol dentro de la ollita, baje el fuego a medio/bajo, y cocine a baño maría hasta que la crema espese, sin dejar de revolver. El punto de cocción es cuando introduciendo la cuchara de madera y dándola vuelta la crema cubre el dorso de la cuchara.
 
 Entonces, añada las flores, mezcle y retire del fuego. Luego, vierta la preparación en la fuente y deje enfriar a temperatura ambiente.
 
 LLeve al congelador por 2 h., retire, bata la preparación para romper los cristales de hielo y vuelva al congelador 1 h. más.
 
Entonces, retire, bata nuevamente y lleve a congelar hasta que esté hecho, más o menos 1 h. más.";4,00;22;9;2;"Puede acompañar con Crema Cítrica";2
22;"Coviglie al Chocolate";"En la olla, mezclando bien , hasta tener una preparación homogénea, coloque el azúcar, la harina, el cacao, la manteca y la leche. LLeve a cocer a fuego medio, sin dejar de mezclar con la cuchara de madera.
 
Entonces, cuando la preparación comience a espesarse, que es cuando se hunde el reverso de la cuchara de madera en la crema y queda cubierto por ésta cuando lo retiramos, apague la llama y aparte la olla de la hornalla, para que se enfríe, mezclando de vez en cuando para que la preparación quede cremosa.
 
Luego, añada, mezclando bien, la crema de leche y distribuya la preparación en las copas. LLeve a enfriar, por lo menos 1 h. antes de servir. En ese momento decore cada centro con un copo de crema y corone con una cereza confitada.";4,00;11;8;2;"Cuando distribuye la crema en las copas puede espolvorear con nuez finamente picada.";2
23;"Peras Helene";"En el bol, mezcle las yemas con 2 cucharadas de azúcar y la crema. Lleve a congelar. Escurra las peras, virtiendo 1/2 taza del jarabe en la ollita.
 
Luego, añada el azúcar restante, la canela y el cacao, mezcle bien, y lleve a hervir por 5 min., a fuego alto.
 
Para servir, distribuya la crema de yemas en las copas, encima coloque las peras, sobre éstas el helado y bañe con la salsa de chocolate caliente.";4,00;11;3;2;"Puede decorar con obleas y cerezas confitadas.";2
24;"Semifreddo de Naranja";" 1. En la ollita, vierta el agua y añada el azúcar, lleve a fuego alto, sin revolver, hasta que tome color dorado. Entonces, retire del fuego y añada 1 taza del jugo de naranja, revolviendo hasta que se disuelva el caramelo.
  2. Después, agregue la ralladura de naranja, mezclando bien y deje enfriar, antes de añadir, siempre mezclando el jugo de naranja restante. Entonces, lleve al freezer.
 3. Mientras tanto, en el otro bol bata los huevos hasta que tomen color amarillo pálido, entonces, añada, en forma de hilo, el almíbar de naranja, mientras continúa batiendo unos 8 min. o hasta que la preparación duplique su volumen.
 4. Luego, en el otro bol bata la crema de leche hasta que esté firme y, luego, con movimientos envolventes de abajo hacia arriba, añádala a la preparación anterior.
 5. Después,tapice el molde de budín inglés con el film, vierta la preparación y lleve al freezer, por lo menos 4 hs., antes de servir. En ese momento, desmolde cubra con rulos de chocolate y sirva.";8,00;22;8;3;"Puede servir acompañado por Salsa al Champagne o Salsa de frutilla, en recipiente aparte.";2
