"IDReceta";"Receta";"Preparacion";"Porciones";"IDCategoria";"IDCocina";"IDComplejidad";"Sugerencia";"IDRendimiento"
227;"Marquesitas";"En el bol coloque las almendras, el chocolate, el azúcar impalpable y las yemas. Mezcle muy bien, hasta tener una pasta homogénea.
 
Entonces, espolvoree sus manos con azúcar impalpable, reparta la pasta en 24 porciones y forme bolitas. 
 
Coloque el chocolate o la grana en el plato y deslícelas hasta que queden cubiertas, en forma pareja. Distribúyalas en la bandeja y lleve a refrigerar, por lo menos 2 h.";24,00;14;4;2;"Son deliciosas para acompañar el café o como golosina para los niños.";3
228;"Bomba Helada al Café";"En el bol, mezcle el polvo de galletitas con la manteca y el café, hasta tener una masa homogénea. Luego, con film forre el interior del recipiente, cuidando de que no queden pliegues.
 
Tapice todo el interior del recipiente con las 3/4 partes de la pasta de galletitas, comprimiéndola y alisándola con el revés de la cuchara.
 
Luego, rellene con el helado y lleve a congelar, por lo menos 3 h.. Entonces, retire y cubra la superficie con el resto de la pasta de galletitas, utilizando el revés de la cuchara para uniformarla y presionarla.
 
Después, desmolde sobre el plato, retire el film, coloque la crema chantilly dentro de la manga y decore, haciendo picos lisos o rizados a gusto. Lleve a congelar, nuevamente, por lo menos una hora, antes de servir.";12,00;11;9;3;" 	 	 	 
Puede completar la decoración con almendras tostadas, cerezas confitas o fruta abrillantada. Este poste se puede conservar congelado 1 mes.";2
229;"Rollito de Queso con Avellanas";"Coloque en queso en el bol, añada el cognac y, con el tenedor, mezcle bien. Luego, con las manos trabaje, amasándolo, el queso hasta tener una pasta maleable.  
 
Entonces, sobre una superficie plana, forme uno o dos cilindros, emparejándolo, con cuidado. Después, pique o corte en tajadas, para filetearlas, las avellanas.  
 
Coloque los trozos de avellana sobre la mesada y haga girar el cilindro de queso encima, hasta que quede cubierto por completo con avellanas.  
 
Guárdelos en las bolsas para freezer, cerradas, en el refrigerador. Para servir, corte en rodajas.";300,00;3;9;2;"Acompañe con Grisines o rodajas de Pan de Campo tostado y tallos de apio.";9
230;"Pejerrey con Salsa Cítrica";"Lave, seque los filetes de pejerrey, papel absorbente, condimente con sal y pimienta. Luego, rocíelos con las 3 cucharadas de jugo de limón. Coloque la harina en el plato hondo y rebócelos bien. Sacuda para desechar los restos de harina.  
 
Caliente, a fuego medio/alto, el aceite en la sartén junto con los ajos enteros y fría hasta que el pescado esté dorado, dándolo vuelta, para que se cocine parejo.  
 
Mientras tanto, en la licuadora, procese el queso crema con vermouth, las yemas , el jugo y la ralladura de naranja, el jugo y la ralladura de limón, sal y pimienta.   
 
Cuando el pescado esté listo, retire, coloque sobre papel absorbente, para escurrir y sirva bañado con la salsa.";4,00;16;9;3;"Este plato es ideal para acompañar con Ensalada china de Repollo/Col, Ensalada Criolla, Ensalada de Espinaca y Rúcula.";2
231;"Ensalada Mónica (Salmón)";" Con el pelapapas corte el queso en tiras, como si lo estuviera pelando. Luego, corte en mitades, horizontalmente los tomatitos. En la fuente distribuya las hojas en los bordes, formando rayos.
 
Luego, corte el salmón en tiritas, finas, de unos 2 cm. de largo. Colóquelo en el bol grande, añada la queso y las alcaparras, mezcle bien. 
 
Coloque la mezcla con salmón en el centro de la fuente, encima distribuya los tomatitos, la naranja y las almendras.
 
En el bol, pequeño, mezcle, batiendo con el tenedor el queso, la crema, el aceite, la salsa y salpimente a gusto.Presente el aliño por separado.";4,00;13;9;2;"Sola es una excelente entrada, pero también la puede acompañar Brochettes de carne estilo malasio.";2
232;"Salmón Marinado al Eneldo";"En el bol, mezcle la sal, el azúcar, la pimienta y el eneldo picado. Frote los filetes con la mezcla y coloque una capa en la fuente, formado un piso. 	 
 
Luego, encima coloque un filete con la piel hacia abajo y después distribuya otra capa de la mezcla. Encima de ésta, coloque la otra mitad del salmón y cubra con el resto de la mezcla. 

Cubra con el plato y, coloque encima un peso ligero. Deje marinar, refrigerado, durante 48 horas, dándole la vuelta 2 veces al día. Pasado ese tiempo, retire la mezcla, frotándolo con el paño y corte en filetes muy finos, casi paralelos a la piel.

En un bol, mezcle las papas con la manzana, cortada de igual tamaño y en el otro mezcle la mayonesa con la crema, la mostaza, el eneldo y el caldo. 
 
Distribuya los filetes de salmón en el centro de la fuente, alrededor bordee con la mezcla de papa y manzana, bañada con la salsa.";4,00;16;3;3;"Es conveniente refrigerar 2 h. antes de servir.";2
233;"Dip de Salmón Ahumado";"Procese o pique, finamente, el salmón, colóquelo en el bol con los demás ingredientes y mezcle batiendo hasta tener una consistencia cremosa y homogénea.";10,00;10;9;2;"Esta pasta se acompaña con tostadas o galletas/galletitas y queda excelente en sandwiches.";2
234;"Pescado agridulce";"Limpie las rodajas de pescado bajo el chorro del agua fría y séquelas con papel absorbente. Espolvoréelas con un poco de sal y pimienta, a gusto, y resérvelas.
 
 En la sartén, mezcle la cebolla, la zanahoria, la hoja de laurel, los clavos de olor, la raíz de jengibre y la pimienta en grano, con 90 cl. de agua fría. En la hornalla, a fuego máximo, llévela a ebullición, y luego deje hervir a fuego lento, 15 min..
 
Luego agregue, a la preparación anterior, las rodajas de pescado y cuézalo todo a fuego medio/bajo, tapado, hasta que la carne empiece a separarse de la espina central y adquiera una tonalidad opaca, entre 10 y 12 min. Entonces, con la espátula, retire cuidadosamente las rodajas de pescado y dispóngalas en la fuente grande de vidrio o de cerámica.
 
Lleve nuevamente, el caldo de cocción con las verduras a fuego fuerte y cuézalo hasta reducir el líquido a la mitad, tarda 7 y 10 min. Tamícelo y viértalo en la olla pequeña. Agregue el vinagre, el azúcar moreno y las pasas. Deje cocer, a fuego lento entre 2 y 3 min. Más, e incorpore revolviendo bien, con la cuchara de madera, las galletas de jengibre en migas (si optó por éstas) y el perejil picado. Retire inmediatamente la preparación del fuego, deje entibiar un poco, a temperatura ambiente y viértala por encima del pescado.

Deje enfriar por completo, a temperatura ambiente y lleve a la heladera hasta el día siguiente. Sírvalo frío, decorado con rodajas de limón en espiral.";6,00;16;20;4;"Para que hacer rodajas de limón en espiral , lave y corte el límón en rodajas algo finas, sáqueles las semillas cuidadosamente y haga un corte en cada rodaja desde la cáscara hasta el centro. Dóblelo, llevando cada uno de los puntos, del corte, exteriores de la cáscara en el sentido contrario al otro.";2
235;"Agnolotti alla marengo";"- Forme una corona con la harina y en el centro disponga las yemas.
- Tome la masa del centro hacia los bordes hasta unir los ingredientes.
- Agregue agua de ser necesario.
- Amase sobre la mesada durante 10 minutos.
- Deje reposar cubierta por un lienzo 30 minutos.

Relleno:
- Corte el carré de cerdo, el vacío y la salchicha en trozos grandes.
- Pique groseramente la cebolla, la zanahoria y el apio.
- En una placa para horno disponga la canela, el clavo de olor, los granos de pimienta, las verduras, las hierbas, el carré, el vacío y la salchicha.
- Rocíe con sal y aceite de oliva.
- Cocine en el horno moderado durante 1 hora aproximadamente.
- A mitad de la cocción bañe con el vino tinto.
- Deje enfriar y descarte las especias, las hierbas y la canela.
- Reserve el jugo de cocción para la salsa.
- Separe las hojas del repollo y blanquee en abundante agua salada en ebullición.
- Escurra y reserve.
- Procese la carne con las verduras, el repollo y el queso rallado.
- Incorpore los huevos y continúe procesando hasta amalgamar.

Armado:
- Separe la masa en bollos y estire hasta obtener láminas finas.
- Distribuya cucharaditas de relleno dejando espacio entre cada una.
- Cubra con otra lámina de masa, marque el relleno y corte en forma de cuadrados.
- Cocine la pasta en abundante agua salada hirviendo.

Salsa 
- En una sartén caliente el jugo de cocción del relleno reservado.
- Incorpore la pasta colada.

Presentación

- Sirva la pasta en platos hondos.";6,00;17;8;4;"Reserve el jugo de cocción del relleno  para la salsa";2
236;"Pavita Navideña Rellena";"Encienda el horno a temperatura media, para precalentarlo. Sazone el ave, interior y exteriormente, frotándola con sal, pimienta y jugo de limón. Luego, coloque las rodajas de pan, bien desmenuzadas, en el bol mediano.  
 
Entonces, añada los huevos, la carne picada, la cebolla, la salvia, las especias, el perejil y salpimente, a gusto, mezclando bien. Luego, introduzca la mezcla dentro de la pavita y cosa la piel del cogote hacia abajo del ave.   
 
Simultáneamente empuje el relleno hacia la pechuga, para que ésta tome más realce. Luego, para que el ave mantenga buena forma, durante la cocción,ate las patas junto a la rabadilla y las alas por debajo de la pechuga.  
 
Después, colóquela en la asadera, en el bol pequeño, mezcle la manteca con el pimentón y pinte toda la superficie. Cúbrala con el papel de aluminio y lleve a hornear durante 2 1/2 a 3 hs., entonces, retire el papel y continúe la cocción por 1/2 h. o hasta que esté bien dorada.  
 
Retire, pase a la fuente, quite los hilos, retire la grasa al fondo de cocción de la asadera, coloque la fécula en la ollita, cuele el fondo de cocción sobre la fécula, mezclándola bien y añada el puré de tomates.  
 
LLeve la ollita a fuego medio, revolviendo con la cuchara de madera, hasta que hierva, entonces, retire y vierta en la salsera.";8,00;24;9;3;"Puede servir fría o caliente, la salsa también. Bordee la fuente con Batatas Acarameladas, Zanahorias acarameladas, Papas Noisette, Cebollas Glaseadas, Puré Mediterráneo, Puré de Manzanas, a su gusto.";2
237;"Conejo a la valenciana";"Limpie y corte en trozos el conejo, reservando el hígado. Luego salpimiéntelos y páselos por harina.  
 
En la sartén, caliente el aceite y dore, a fuego fuerte, el conejo junto con el hígado, dándolos vuelta con la cuchara de madera para que se cocinen parejo. Tardan, en dorarse, más o menos 7 min.  
 
Luego, pase los trozos de conejo a la olla y reserve el hígado en la sartén al calor, dejándola cerca de una hornalla prendida.  
 
Pique los dientes de ajo, el perejil, las almendras y el hígado. Limpie los morrones o pimientos, cortándolos a lo largo, sáqueles las semillas y las nervaduras internas, cortélos en tiras y luego en cuadrados pequeños.  
 
En el mortero, la licuadora o procesadora, coloque los dientes de ajo, el perejil, los morrones o pimientos, las almendras y el hígado. Agregue 3 o 4 cucharadas de caldo y machaque bien hasta formar una pasta.  
 
En la misma sartén en que se doró el conejo, caliente la manteca o la grasa de cerdo y vuelque dentro la pasta; rehogue durante 5 min. y aligere la salsa con el resto del caldo, condimente con sal y pimienta.  
 
Coloque la olla  (de barro) en la que está el conejo sobre el fuego y por encima de éste la salsa que está en la sartén. Tape la olla y cocine a fuego lento hasta que la carne esté tierna, más o menos en 40 a 45 min. Si es necesario, hidrate con caldo o agua caliente.";6,00;15;5;4;"Se sugiere acompañar este plato con pan casero y arroz o papas hervidas.";2
238;"Pavo relleno";"Encienda el horno a temperatura media/alta, para precalentarlo. En el bol mediano, mezcla el tocino, la carne, el jamón, el paté, las almendras, la mitad de manteca y el huevo. Rellene el pavo por el cuello y la parte de abajo y cosa las aberturas con hilo de algodón para que el relleno no se salga durante la cocción.   
 
Mezcle el licor con el jugo de naranja y salpimente a gusto. Luego, unte el pavo con la manteca restante, después, espolvoréelo en forma pareja con harina, para que se forme una película. Rocíe con 3 cucharadas de la mezcla con licor. Colóquele en la fuente para horno y cúbralo con papel de aluminio, pues ayuda a que se cueza por dentro, antes de dorarse.   
 
Baje la temperatura del horno a media y cocine el pavo por 1 1/2 h. más o menos. Después, retire el papel, suba la temperatura a media/alta y hornéalo por 30 min. más o menos o hasta que esté dorado por fuera. Durante este lapso debe rotarlo, varias veces y bañarlo con el resto de la mezcla de jugo y cognac.  
 
Cuando ya esté hecho, trínchelo, retire el relleno, colocándolo la fuente de servir, junto con el pavo troceado, mantenga cerca de la hornalla encendida, mientras desgrasa el fondo de cocción de la fuente, le añade 1/2 taza de agua caliente y una cucharadita de jugo de limón, esta salsa se sirve para acompañarlo.";12,00;24;9;3;"Lo puede acompañar con puré de batatas o de manzanas";2
239;"Cebolla Morada";"Coloque todos los ingredientes en el bol y bata hasta tener una mezcla muy homogénea. Sirva.";6,00;9;2;2;"Esta salsa es muy picante, puede servir con todo tipo de carnes asadas, pescados y mariscos.";2
240;"Salsa Cremosa de Perejil";"En la licuadora, triture las hojas de perejil con el puré de tomates y salpimente, a gusto. Luego, vieta la preparación en el bol y añada, mezclando bien, el pan rallado, la crema, el vinagre y el aceite.";15,00;9;21;2;"Puede utilizarla como dip o para condimentar una ensalada de pasta corta.";2
241;"Salsa de Queso Picante";"Lave los chiles y, junto con el resto de los otros ingredientes, tritúrelos, en la licuadora, hasta tener una crema.";10,00;9;2;2;"Utilice para aderezar ensaladas de repollo/col o pepinos. Si reduce a la mitad la cantidad el puré de tomates, es un excelente dip.";2
242;"Pollo Sudado";"Lave muy bien el pollo, seque con papel absorbente. Vierta el aceite en la olla y caliente a fuego medio/alto. Fría las presas de ambos lados, hasta que estén doradas.  
 
Entonces, añada las rodajas de papas, poniéndolas sobre el pollo, encima distribuya los aros de cebolla. Después, salpimente, a gusto, rocíe con el comino y vierta el caldo.   
 
Tape la olla, baje el fuego a mínimo y deje cocer por 45 min. o hasta que el pollo esté cocido.";6,00;24;2;3;"Puede acompañar con Arroz al Tomate o servir solo.";2
243;"Arroz al Tomate";"Caliente el aceite en la cacerola, a fuego medio y fría las semillas de cebolla, unos 30 seg., hasta que despidan su aroma. Añada los aros de cebolla y rehóguelos 5 min., hasta que se ablanden.  
 
A continuación, vaya incorporando los tomates, el morrón, el jengibre, el ajo, el ají molido, el coriandro, la papa, la sal y las arvejas, y rehogue todo a fuego medio unos 5 min., mezclando con la cuchara de madera.  
 
Añada el arroz y rehogue 1 min., siempre revolviendo con la cuchara. Luego, eche el agua y Ileve a ebullición.Tápelo y cocínelo, a fuego medio, de 12 a 15 minutos sin quitar la tapa para impedir que el vapor se escape y lograr que el arroz se cocine uniformemente. Retire del fuego y eje reposar tapado, 5 min., antes de servirlo.  
 
Servir en cada plato, con un gajo de tomate encima una hoja de perejil o coriandro.";4,00;17;18;3;" Sírvalo solo o acompañado de pescado.";2
244;"Copa Helada al Café";"Coloque el café, el azúcar y 1/3 del agua en la licuadora, procese unos segundo y, luego, añada el resto del agua y los cubitos. Triture hasta lograr una preparación espumosa.  
 
Entonces, rápidamente distribuya el helado en los vasos y vierta la mezcla con café encima. Sirva con una cuchara y sorbete.";4,00;22;9;2;"Si lo desea puede reemplazar parte del agua por un pocillo de café o whisky.";2
245;"Helado Irlandés";"En un bol mezcle el café con el whisky y reserve en la heladera, para que se enfríe bien, por lo menos 30 min. En caso de querer acelerar el proceso colóquelo en el freezer por 10 min.  
 
Mientras tanto, en el otro bol bata la crema con el azúcar impalpable, unos 3 min. o hasta que esté firme. Reserve en la heladera, hasta el momento de servir.  
 
En el momento de servir, distribuya una porción de helado en cada copa, báñela con la salsa de café, rocíe encima con azúcar moreno y por último con la cuchara forme copos de crema.";6,00;22;9;2;"También se puede hacer con Crema Moka";2
246;"Helado de Nueces con Salsa de Amaretto";"Reparta las porciones de helado en las copas. Rocíe con las nueces. 
En la jarra vierta el café y el licor, mezcle bien.  

Para servir, bañe el helado con la salsa.";4,00;22;5;2;"Si quiere prepararlo con anticipación, reserve las copas con helado en el freezer y vierta la salsa en el momento de servir. Puede también calentar la salsa, si desea en contraste de helado y caliente.";2
247;"Panzanella";"Retire la corteza al pan y remójelo con 1 taza de agua fría, en el bol mediano durante 10 min. Mientras tanto, retire el corazón de los tomates y córtelos en rodajas finas, luego en mitades, no deseche el jugo.  
 
Cuando el pan esté remojado, escúrralo en el colador y desmenúcelo con las manos, en trozos grandes. Coloque el pan, con el tomate y su jugo en la ensaladera.  
 
Añada el pepino y la cebolla. Con las manos rompa las hojas de albahaca en pequeños trozos y pique el perejil y la menta en trozos grandes. Agregue estas hierbas en la ensaladera.  
 
En el bol pequeño con la cuchara o tenedor bata el vinagre con el aceite, para hacer el aliño y salpimente a gusto. Vierta en la ensalada y mezcle bien para que los trozos de pan se embeban. Rectifique con sal y pimienta, si es necesario.  
 
Deje reposar 1 h., a temperatura ambiente, antes de servir.";6,00;13;8;2;"Es una excelente ensalada para acompañar todo tipo de carnes asadas.";2
248;"Flan de Naranja sin Azúcar";"Encienda el horno a temperatura media, para precalentarlo, vierta agua hasta los 2/3 de la capacidad del recipiente e introdúzcalo en el horno.  
 
Luego, en el bol coloque todos los ingredientes y bata hasta tener una mezcla homogénea. Entonces, viértala en la budinera (de 1 litro)  y lleve a cocer en baño maría, hasta que el flan haya cuajado, más o menos 1 h.   
 
Retire, deje enfriar a temperatura ambiente, desmolde y lleve a refrigerar por lo menos 2 h. antes de servir.";10,00;11;3;2;"Si quiere puede acaramelar la budinera. Puede servir acompañado de Crema Chantilly, Crema Chantilly Diet o Salsa de frutilla.";2
249;"BATIDO DE CAFÉ";"Disolver el azúcar en la leche hirviendo y añadir la vainillina. 
Dejar enfriar e introducir en la nevera. 
En la batidora verter la leche, muy fria, el licor de naranja y cuatro cubitos de hielo. 
Una vez bien batido, verter en copas alargadas y espolvorear por encima el café soluble.";8,00;25;9;2;;2
250;"BATIDO DE PLÁTANOS AL CAFÉ";"Preparar un café medio largo. 
Repartir en 4 copas altas. 
Batir los plátanos con la leche y azucarar a voluntad. 
Verter el batido en las 4 copas, encima del café. 
Espolvorear con la canela.";4,00;25;9;2;;2
252;"CAFÉ DANÉS";"Batir la crema de leche con la yema y el kumel. 
Repartir la mezcla en 4 tazas. 
Verter el café muy caliente. 
Endulzar a voluntad.";4,00;25;9;2;;2
253;"CAFÉ ESCOCÉS";"Preparar un café exprés largo. 
En 4 vasos previamente calentados, poner dos cucharadas de azúcar y el whisky ( 1 copita por vaso ). 
Verter el café muy caliente y remover. 
Colocar encima la crema de leche, procurando que este muy fría.";4,00;25;9;2;;2
254;"CAFÉ ESCARCHADO";"Preparar un café exprés corto y añadirle el azúcar, removiendo hasta que esté disuelto. 
Verter en el recipiente de cubitos del congelador y dejar helar. 
Revolver la preparación completamente para romper los cristales volver al congelador. 
Repetir esta operación dos veces más y guardar hasta el momento de servir. 
Verter en cuatro copas grandes y adornar con la nata.";4,00;25;9;2;;2
255;"Café Vienés I";"En una coctelera mezclar la nata líquida, el azúcar y el chocolate en polvo hasta obtener una crema homogénea. Verter esta crema en un vaso alto y añadir lentamente el café. Cubrir con nata montada y espolvorear con canela molida.";1,00;25;9;2;;2
256;"Café Vienés II (con helado)";"Mezclar el café, el azúcar y la leche en una coctelera. 
Verter en un vaso alto y añadir el helado de nata. Espolvorear con el chocolate en polvo y mezclar suavemente. 
Cubrir la mezcla con nata montada y adornar con la cereza.";1,00;25;9;2;;2
257;"Café Orange";"En una copa para café irlandés mezclar el café caliente, el licor y el azúcar. Cubrir con nata montada sin remover de nuevo.";1,00;25;9;2;;8
258;"Café vienés";"Preparar medio litro de café y mientras tanto batir las yemas con dos cucharadas de agua fría y la mitad de la nata (todavía líquida). Dividir este compuesto en cuatro tazas y verter encima el café caliente y azucarado. Mezclar bien y cubrir con lo que queda de la nata, pero batida.";0,60;25;9;2;"Este café particularmente es muy indicado para dar energías los días de mucho frío.";5
259;"Banana con panceta";"Partir el plátano en 3 partes;  de cada parte sacar 4 palitos de plátano.  A estos palitos enrollarles un pedazo de tocino asegurándolo con un palillo.  Hornear con ""broil"" hasta que el plátano y tocino estén dorados.";48,00;3;9;2;;3
260;"Pinchos de cerdo con piña";"Cortar la carne en cuadritos condimentarla y freirla hasta que esté bien cocida.  Sacar la carne de la sartén y sofreir en el mismo recipiente la piña.  Poner en el palillo dos cuadritos de carne y dos cuadritos de piña intercalados. Ponerlos al horno a  fuego lento hasta el momento de servir.";50,00;3;9;3;;3
261;"Sala holandesa";"En una olla pequeña revuelva con una paleta de madera, las yemas, el jugo de limón, agregue 2 onzas de mantequilla bien fría, continúe  revolviendo en fuego muy lento hasta que la mantequilla se derrita y agregue nuevamente 2 onzas de mantequilla siempre a fuego muy lento para dar tiempo a que se cocinen las yemas";1,00;9;9;2;;2
262;"Ensalada de paltas";"Pele y retire el carozo a las paltas, luego córtelas en trozos cuadrados. Coloque en el bol y rocílas con el jugo de limón, paraque no se oxiden. Reserve.  
Pele las naranajas, sáqueles piel blanca y con cuidado separe los gajos con las manos. Haciendo un corte longitudinal en el borde interno, retire las semillas.  
 
Intercale en la fuente la palta y los gajos de naranja, condimente con el aceite, la sal y la pimienta. Luego lleve a refrigerar unos 20 min. Antes de servir.  
 
También para acompañar puede llevar a la mesa una salsera u otro recipiente con Salsa Ketchup o Salsa Golf.";4,00;13;9;2;"A ests preparación pueden agregársele hojas de endivias, para hacer un plato más ref";2
263;"Pollo con Salsa de Chocolate";"En el bol pequeño vierta 1/3 del vino y reserve. Rocíe las presas con el jugo de naranjas, salpimente a gusto, vierta harina en el plato y reboce, sacudiendo para desechar restos de harina.  
 
Coloque la manteca y el aceite en la cazuela lleve a fuego medio/alto y cuando esté caliente añada las presas. Deje cocer hasta que estén doradas, rotándolas en la mitad de la cocción, tardarán unos 10 min.  
 
Entonces, sin retirar el recipiente de la llama, coloque las presas en la fuente, dejándola cerca de la hornalla encendida, para que se mantengan calientes. Luego, en la cazuela a fuego medio/alto cocine las cebollitas hasta que estén transparentes.  
 
Entonces, añada las 2/3 partes del vino y, cuando rompa hervor agregue las presas de pollo. Enseguida, tape, baje a fuego moderado y deje cocer 25 min. Entonces, añada el licor, las aceituna, la crema y el chocolate.  
 
Baje el fuego a mínimo, mezcle bien con la cuchara de madera, enseguida, diluya la cuchara de harina en el vino reservado y añada, mezclando bien hasta que la preparación se espese. Entonces, retire y sirva";6,00;24;9;3;"Este plato se puede preparar con anticipación y guardar congelado. Puede acompañar con Papas Horneadas Aromáticas, Papas Noisette, Papas fritas.";2
264;"Frutas Flambeadas con Helado";"Encienda el calentador (de alcohol, para hacer en la mesa), coloque la manteca en la sartén y lleve a calentar hasta que se derrita. Entonces, añada el azúcar y deje cocer hasta que tome color caramelo.  
 
Mientras tanto, distribuya las porciones de helado en el centro de los platos. Cuando el caramelo esté listo, ñada los jugos y las frutas en la sartén.  
 
Mueva la mezcla, imprimiendo movimientos desde el mango de la sartén, mientras deja calentar la mezcla, más o menos unos 3 min.  
 
Rocíe con el licor y encienda. Inmediatamente, mientras arde, vuelque la mezcla sobre las porciones de helado.";4,00;11;9;3;" Es un postre ideal para fiestas o cuando recibe invitados.";2
265;"Arrollado Helado con Salsa de Frambuesas";"Coloque el pionono/arrollado/brazo gitano en la fuente y lleve al freezer. Sobre el bol coloque el tamiz y pase la fruta por el tamiz.  
 
Vierta en la ollita el jugo, añada el azúcar y la ralladura de naranja. LLeve a fuego fuerte y deje hervir 3 min. Entonces, añada el puré de fruta, mezcle y retire.  
 
Deje enfriar y añada el licor. Desenrolle la tapa de pionono, cubra con la salsa, esparza encima las almendras y cubra con el helado.  
 
Arrolle nuevamente y lleve al freezer, hasta el momento de servir.";10,00;11;9;3;"Puede congelar decorado con Crema Chantilly o retirar decorar con Merengue Suizo y servir o en el momento de servir salsear cada porción con Salsa al Champagne o Salsa de Naranja";2
266;"Flan de Naranjas";"Echar 1/3 taza de azúcar en el molde y llevar a fuego medio/bajo para hacer el caramelo, rotándolo suavemente de vez en cuando, para que se haga parejo.  
 
Vierta el jugo y la ralladura en la olla y lleve a fuego fuerte, hasta que comience a hervir. Mientras tanto., bata los huevos con el azúcar hasta tener una crema blancuzca.   
 
Vierta de a poco, el jugo sobre la crema, sin dejar de batir y deje reposar hasta que baje la espuma. Encienda el horno a temperatura media/alta, añada la esencia a la preparación, mezcle bien y vierta en el molde (budinera de 1,5 litros).  
 
Vierta agua hasta 2/3 partes de la capacidad del recipiente, lleve al horno el molde en baño María para que se cueza, más o menos, 35 min. o hasta que introduciendo un palillo, salga limpio.  
 
Retire, deje enfriar, primero a temperatura ambiente y luego, lleve a refrigerar, por lo menos, 40 min. antes de desmoldar y servir.";8,00;11;9;3;"Puede acompañar con Crema Chantilly o Crema Inglesa.";2
267;"Pato Asado al estilo israelí";"Encienda el horno a temperatura media/alta, para precalentarlo. Lave el pato en agua. Séquelo con el papel, unte el exterior e interior con sal y pimienta. Perfore la piel con un tenedor para dejar escapar la grasa durante la cocción e introduzca los trozos de naranja dentro de la cavidad del ave.   
 
En el bol pequeño, mezcle el azúcar moreno y 1 cucharadita de sal con 3 o 4 cucharadas de jugo de naranja. Reserve el resto de jugo. Distribuya de cebolla y zanahoria sobre el fondo de la fuente para el horno, coloque el pato sobre una parrilla y sitúe la parrilla sobre la fuente con las cebollas y la zanahoria. Bañe con la mezcla de azúcar el ave.  
 
Ase el pato durante 30 min.. Retírelo del horno y báñelo con sus propios jugos. Vacíe la grasa de la fuente y vuelva a perforar la piel de pato. Siga asando el pato, rociándolo con su propio jugo y retirando la grasa que se acumule en la bandeja, cada 20 min..  
 
Cocine hasta que la carne adquiera una fuerte tonalidad marrón y la piel esté crujiente, aproximadamente 11/2 h. o cuando al pinchar uno de los muslos con un cuchillo, salga un líquido de color claro. Entonces, disponga el pato en la fuente de servir, cúbralo con papel de aluminio y déjelo reposar unos 15 minutos.  
 
Mientras tanto, retire toda la grasa de la fuente, excepto una cucharada. Agregue la harina y remuévala. Coloque en una ollita y tuéstela, a fuego medio/alto, dándole vueltas, de 1 a 2 min.. Incorpore el resto del jugo de naranja, el caldo de pollo o el agua, la sidra o el vinagre y la mermelada; mézclelo todo. Lleve la salsa a ebullíción, baje el fuego lento y cocine hasta que quede ligada y espesa, entre 3 y 4 min..  
 
Vierta la salsa en la salsera y sirva el pato, decorado con el perejil, con la salsa aparte. Preséntelo cortado en cuatro trozos, o trínchelo en la mesa.";4,00;24;20;4;"Puede utilizar como guarnición: Arroz a la Naranja o Arroz al limón o Papas Noisette.";2
269;"Naranjas Acarameladas";"Pele las naranjas, preferentemente con el pelapas, para retirar sólo una capa casi transparente de color naranja. Luego córtela en tiritas, muy angostas.  
 
En la ollita, con media taza de agua lleve a cocer, a fuego fuerte, las tiritas, unos 5 min. Retire, cuele y páselas por agua fría, escurriendo muy bien. Reserve.  
 
En la olla mediana coloque el azúcar con 1/2 taza de agua y lleve a fuego suave, unos 7 min. o hasta que el azúcar se disuelva. Entonces, levante a fuego fuerte y haga hervir hasta que tome color caramelo, unos 20 min.  
 
Mientras tanto, pele las naranjas, retirando la parte blanca, debe llegar a la pulpa. Distribúyalas en el bol o ensaladera.  
 
Retire de la hornalla, sin apagar, agregue otra 1/2 taza de agua, con la cuchara de madera, revuelva y lleve nuevamente al fuego fuerte, unos 12 min. o hasta que la preparación hierv por 5 min.  
 
Entonces agregue las tiritas, vierta sobre las naranjas y deje enfriar a temperatura ambiente. Lleve a refrigerar, por lo menos 1 1/2h., antes de servir.";4,00;11;9;2;"Puede acompañar cada porción con Crema Chantilly o Helado de Vainilla.";2
270;"Pan armenio";"En el bol pequeño disuelva la levadura en agua tibia y déjela cubierta con el paño limpio por 30 min..  
 
Mezcle la leche, el azúcar, la sal y el aceite de oliva en el bol grande y agregue la levadura. Luego, adicione de a poco la harina y amase bien, hasta que la masa se vuelva lisa, suave y elástica, es conveniente golpearla reiteradamente, contra la mesada, para darle elasticidad. Después deje descansar la masa, cubierta con el lienzo, en un lugar templado 1 1/2 h.  
 
Una vez finalizado el tiempo de leudado, dvida la masa en dos bollos iguales De cada bollo de masa retire una cuarta parte, cortándola con un cuchillo filoso y haga dos bollos pequeños. Con cada uno de los bollos grandes, en una superficie enharinada, haga un rollo de 60 cm de largo. Una las puntas, para que tenga forma de rosca y colóquela en la placa o asadera, aceitada. Los bollos pequeños, cuidando que estén bien lisos, colóquelos sobre de las roscas, bien centrados. Deje levar, en un lugar templado, hasta doblar el volumen, 30 min., más o menos. Pincele con huevo y espolvoree con sésamo.  
 
Mientras los panes levan, encienda el horno a fuego medio. Lleve los panes al horno, precalentado, hasta que se doren y cuando al introducir un palillo salga seco y con alguna miga pegada.";2,00;7;20;4;;3
